,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Devin Duvernay,5,BAL,8,WR,0.00,0.00,6.7,6.6,0.0,0.0,0.11,17.20,13.7,13.4,230,1.4
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Baltimore REC TE,,BAL,8,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.33,101.16,12.00,10.79,1214,10.0
Mark Andrews,1,BAL,8,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.79,79.92,12.50,12.50,999,8.0
Josh Oliver,2,BAL,8,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.21,21.24,10.10,10.10,215,1.9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Buffalo Passing,,BUF,7,QB,100.00,67%,384.9,576.5,7.6,4355.1,31.17,12.00,108,482,8.00,
Josh Allen,1,BUF,7,QB,0.96,67%,369.5,553.5,7.5,4150.3,31.00,11.00,104,457,8.00,
Mitchell Trubisky,2,BUF,7,QB,0.04,63%,14.5,23.1,7.0,174.2,1.25,0.48,4,25,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Buffalo Rushing,,BUF,7,RB,100,433.32,4.2,4.3,1841.8,16.0,0.15,57.74,6.7,7.4,384,2.0
Devin Singletary,1,BUF,7,RB,0.3,130.00,4.4,4.3,558.1,2.0,0.55,31.76,7.2,6.6,210,1.0
Zack Moss,2,BUF,7,RB,0.4,173.33,4.2,4.1,709.5,6.0,0.34,19.63,7.0,6.4,126,1.0
Matt Breida,3,BUF,7,RB,0.06,26.00,4.4,4.3,111.6,0.0,0.11,6.35,8.3,7.7,49,0.0
Taiwan Jones,4,BUF,7,RB,0.00,0.00,3.8,3.7,0.0,0.0,0.00,0.00,7.0,6.4,0,0.0
Josh Allen,,BUF,7,QB,0.24,104.00,4.5,4.4,456.9,8.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Buffalo REC WR,,BUF,7,WR,0.00,1.00,5.6,4.3,5.6,0.0,0.75,288.69,12.3,12.6,3553,24.0
Stefon Diggs,1,BUF,7,WR,0.00,1.00,5.7,5.6,5.6,0.0,0.37,106.81,12.3,12.0,1280,9.0
Emmanuel Sanders,2,BUF,7,WR,0.00,0.00,4.4,4.3,0.0,0.0,0.14,40.42,12.0,11.7,472,3.0
Cole Beasley,3,BUF,7,WR,0.00,0.00,6.0,5.9,0.0,0.0,0.23,66.40,11.6,11.3,749,4.0
Gabriel Davis,4,BUF,7,WR,0.00,0.00,6.0,5.9,0.0,0.0,0.21,60.62,15.5,15.2,920,8.0
Isaiah McKenzie,5,BUF,7,WR,0.00,0.00,7.7,7.6,0.0,0.0,0.05,14.43,9.5,9.2,133,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Buffalo REC TE,,BUF,7,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.10,38.49,10.8,10.8,417,6.0
Dawson Knox,1,BUF,7,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.72,27.71,12.3,11.7,324,5.0
Tommy Sweeney,2,BUF,7,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.28,10.78,9.3,8.7,94,1.0
