Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Chargers	LAC	DST	86.3	114	140	21.7	5.16	-27	7.87	16	222
Wil Lutz	NO	K	95.8	114	158	23.8	8.49	-22.1	8.94	5	124
Michael Pittman	IND	WR	94.7	114	141	16.6	4.14	-35.3	1.77	7	109
Cole Beasley	BUF	WR	87.4	112	131	15.9	4.29	-37.1	0.509	7	141
Nelson Agholor	NE	WR	92	112	143	18.8	4.71	-37.6	1.23	7	158
Emmanuel Sanders	BUF	WR	85.3	111	138	18.7	4.51	-38.8	0.698	7	147
Kyle Pitts	ATL	TE	37.3	110	143	37.6	8.05	14.1	2.92	4	48.5
Darnell Mooney	CHI	WR	92.4	110	130	13.9	3.79	-39.5	0.0322	7	127
Jakobi Meyers	NE	WR	90.7	110	141	22	5.44	-39.5	1.17	8	128
James Conner	ARI	RB	69.2	109	128	21.8	4.28	-57.4	1.04	9	102
Russell Gage	ATL	WR	81.4	109	144	23	5.16	-40.7	0.966	8	150
David Johnson	HOU	RB	67.5	108	159	30.2	6.09	-58.5	0.277	9	122
Ty'Son Williams	BAL	RB	91.1	108	123	17	5.85	-58.8	0.457	10	130
Sterling Shepard	NYG	WR	80.1	108	145	23.3	5.08	-41.7	0.258	8	150
Mecole Hardman	KC	WR	83.4	108	125	14.8	4.19	-41.9	0.333	8	128
Sony Michel	LAR	RB	65.3	107	127	21.1	4.95	-59.2	0.746	10	110
Devin Singletary	BUF	RB	89.4	107	130	14.5	3.14	-60	2.37	10	112
Logan Thomas	WAS	TE	100	107	130	10.8	2.99	11.2	2.68	5	81.3
Marquez Callaway	NO	WR	58.7	107	158	34.5	6.3	-42.3	4.74	8	118
Vikings	MIN	DST	69	106	141	27.8	6.16	-34.9	0.496	17	201
Jets	NYJ	DST	75.3	105	126	20.7	5.52	-35.4	20.1	18	
Jake Elliott	PHI	K	92.5	105	124	12.8	5.38	-31.1	4.2	5	
Jeffery Wilson	SF	RB	69.3	104	140	52	10.1	-62.3	1.61	10	
Robert Tonyan	GB	TE	90	104	114	9.82	2.75	8.53	3.06	5	90.4
Jamaal Williams	DET	RB	89.3	103	116	11	2.79	-64	1.59	10	112
Jaylen Waddle	MIA	WR	54.8	103	137	31.1	5.95	-47	1.23	8	115
Greg Joseph	MIN	K	15.7	101	131	47.1	8.03	-35.3	25.2	6	
Kenyan Drake	LVR	RB	68.6	101	118	19.2	4.01	-65.5	4.38	10	114
Noah Fant	DEN	TE	87.8	101	110	8.96	2.45	5.47	0.742	5	92.8
Tre'Quan Smith	NO	WR	62.4	101	128	25.3	5.63	-48.2	1.4	8	196
Tyler Higbee	LAR	TE	89	100	117	10.4	3.2	4.73	0.757	5	107
Elijah Moore	NYJ	WR	80	99.9	117	16.6	4.58	-49.6	0.416	8	143
Mike Gesicki	MIA	TE	89.8	99.7	115	9.24	2.67	3.97	1.92	5	114
Dallas Goedert	PHI	TE	87.3	97.8	117	10.5	2.95	2.05	2.05	6	102
Michael Carter	NYJ	RB	48	96.7	140	35.1	6.2	-69.9	0.732	10	96.9
Tony Pollard	DAL	RB	66.7	96	105	14	3.33	-70.7	1.07	10	125
Jared Cook	LAC	TE	81.1	95.7	109	10.5	3.53	0	3.86	6	141
J.D. McKissic	WAS	RB	80.8	94.9	110	9.75	3.29	-71.7	0.7	10	130
Latavius Murray	NO	RB	67.8	94.2	116	26.2	7.98	-72.4	0.782	10	147
Todd Gurley	FA	RB		93.4			5.86	-73.2	0.115	10	223
Nyheim Hines	IND	RB	77.9	93.3	108	10.8	2.92	-73.3	2.18	10	129
Rob Gronkowski	TB	TE	74.4	91.8	105	10.8	3.31	-3.86	1.38	6	114
Tevin Coleman	NYJ	RB	69.1	91.1	105	13.9	4.25	-75.5	1.59	10	135
Jonnu Smith	NE	TE	76.8	90.5	102	10.3	2.92	-5.24	3.92	6	126
AJ Dillon	GB	RB	64.8	89.5	115	20.3	4.24	-77.1	0.0508	10	106
Phillip Lindsay	HOU	RB	44.7	89.5	121	27.9	5.35	-77.1	2.72	11	127
James White	NE	RB	64.4	86.7	110	17.8	4.35	-79.9	3	11	139
Evan Engram	NYG	TE	76.9	86.5	101	8.98	2.86	-9.16	0.671	6	151
Anthony Firkser	TEN	TE	76.2	85.9	104	9.97	4.06	-9.83	2.82	7	195
Raiders	LVR	DST	42.7	85	119	33	10.8	-55.5	0.381	18	
Jaguars	JAC	DST	53.4	84.6	114	24.1	5.04	-55.9	2.61	19	230
Alexander Mattison	MIN	RB	59.4	83.7	106	17.3	3.98	-82.9	4.1	11	136
Austin Hooper	CLE	TE	68.7	83	97	11.3	3.71	-12.7	1.24	7	156
Bengals	CIN	DST	46	82	112	26.7	5.59	-58.5	4.9	20	
Hunter Henry	NE	TE	39.1	81.8	113	25	6.22	-13.9	4.29	7	138
Mark Ingram	HOU	RB	50.5	79.6	121	28	6.66	-87	1.39	11	159
Rashaad Penny	SEA	RB	60.3	78.3	102	14.2	4.22	-88.4	2.8	11	162
Zach Ertz	PHI	TE	45.3	77.5	94.3	18.7	5.39	-18.2	0.321	7	143
Eric Ebron	PIT	TE	50.6	77.2	98.7	15.3	4.8	-18.5	6.02	8	161
Lions	DET	DST	35.8	77.1	117	31.3	6.98	-63.4	0.602	20	
Texans	HOU	DST	54.9	76.5	116	27.3	6.28	-64			
Cody Parkey	FA	K	75	76.1	77	1.41	4.09	-60.5	8.08	7	
